"seq_id"	"sample_collection_decimal_date"	"state_code"	"state"	"host"	"sample_collection_date"
"40/SO-hm-RABV"	2023.80821917808	"SO"	"Sokoto"	"Human"	2023-10-23
"41/TA-dg-RABV"	2023.60547945205	"TA"	"Taraba"	"Domestic dog"	2023-08-10
"42/PL-dg-RABV"	2019.4301369863	"PL"	"Plateau"	"Domestic dog"	2019-06-07
"43/PL-dg-RABV"	2020.29234972678	"PL"	"Plateau"	"Domestic dog"	2020-04-16
"44/BA-dg-RABV"	2020.06557377049	"BA"	"Bauchi"	"Domestic dog"	2020-01-24
"45/BA-dg-RABV"	2018.94246575342	"BA"	"Bauchi"	"Domestic dog"	2018-12-10
"46/BA-dg-RABV"	2018.33424657534	"BA"	"Bauchi"	"Domestic dog"	2018-05-02
"47/BA-dg-RABV"	2023.18082191781	"BA"	"Bauchi"	"Domestic dog"	2023-03-08
"48/TA-dg-RABV"	2022.18356164384	"TA"	"Taraba"	"Domestic dog"	2022-03-09
"49/BA-dg-RABV"	2020.51912568306	"BA"	"Bauchi"	"Domestic dog"	2020-07-09
"50/TA-dg-RABV"	2022.33424657534	"TA"	"Taraba"	"Domestic dog"	2022-05-02
"51/TA-dg-RABV"	2020.20765027322	"TA"	"Taraba"	"Domestic dog"	2020-03-17
"52/TA-dg-RABV"	2018.46575342466	"TA"	"Taraba"	"Domestic dog"	2018-06-20
"53/PL-dg-RABV"	2021.51506849315	"PL"	"Plateau"	"Domestic dog"	2021-07-08
"54/PL-dg-RABV"	2020.85519125683	"PL"	"Plateau"	"Domestic dog"	2020-11-08
"55/TA-dg-RABV"	2020.58743169399	"TA"	"Taraba"	"Domestic dog"	2020-08-03
"56/TA-dg-RABV"	2019.07671232877	"TA"	"Taraba"	"Domestic dog"	2019-01-29
"57/BA-dg-RABV"	2020.09836065574	"BA"	"Bauchi"	"Domestic dog"	2020-02-05
"58/BA-dg-RABV"	2021.65479452055	"BA"	"Bauchi"	"Domestic dog"	2021-08-28
"59/PL-dg-RABV"	2018.76164383562	"PL"	"Plateau"	"Domestic dog"	2018-10-06
"60/PL-dg-RABV"	2018.98356164384	"PL"	"Plateau"	"Domestic dog"	2018-12-26
